PK,ID,InputID,ParticleID,SigmaV,Temperature,ScaleFactorID
535,d827e9f0-0c0a-41bd-aa2f-876a30b62e11,269a7cfa-3098-4d1c-b68c-85ed95a79df7,6394aad6-3eba-45bd-9f0b-a445df44622c,8.26830590956502e-24,2318738.64566318,52480373-b37c-4823-86b7-68490ae294de
540,e3fe876e-42ff-4026-b566-cf080a181a23,269a7cfa-3098-4d1c-b68c-85ed95a79df7,6394aad6-3eba-45bd-9f0b-a445df44622c,1.19743874452483e-23,2083809.45520526,620028c1-610b-4876-96a0-dcd86e9a3780
545,3c5019b4-3ea4-4e88-a9ed-e177da4aa8b9,269a7cfa-3098-4d1c-b68c-85ed95a79df7,6394aad6-3eba-45bd-9f0b-a445df44622c,1.93000087365216e-23,1882961.38184968,219272fb-d6aa-4f54-a053-e4c5d3442ab6
550,36bf7d47-eee8-4244-9149-b230bdaa216f,269a7cfa-3098-4d1c-b68c-85ed95a79df7,6394aad6-3eba-45bd-9f0b-a445df44622c,3.11991333494912e-23,1677024.20568817,aaab501f-2b18-424f-8b51-50257e351871
555,a097efdd-59fa-46fc-9c49-dda0d0d3a8bc,269a7cfa-3098-4d1c-b68c-85ed95a79df7,6394aad6-3eba-45bd-9f0b-a445df44622c,4.94338802970894e-23,1496072.94951408,b2abdb04-a596-45f9-b69b-3f86b2d6eeed
560,e658ecae-ac6d-411c-b190-303e922a70d6,269a7cfa-3098-4d1c-b68c-85ed95a79df7,6394aad6-3eba-45bd-9f0b-a445df44622c,5.94224920767472e-23,1327338.63725248,fadd308d-8270-499b-9fe1-24b67d932dd8
565,b971b222-297e-4ab1-8dc7-9d27dd06d15c,269a7cfa-3098-4d1c-b68c-85ed95a79df7,6394aad6-3eba-45bd-9f0b-a445df44622c,1.23819265805487e-22,1182116.4663764,85fe15b8-4159-4bfc-9d13-aa4b8c598d00
570,9049f5b3-5831-4ad8-ab1c-5e6757e177c2,269a7cfa-3098-4d1c-b68c-85ed95a79df7,6394aad6-3eba-45bd-9f0b-a445df44622c,2.00465182050613e-22,1043551.71001701,c8437aab-7f5c-4ca5-ac08-27527b0826da
575,01ec9d28-ee95-4a98-88f0-9bbd7eddc093,269a7cfa-3098-4d1c-b68c-85ed95a79df7,6394aad6-3eba-45bd-9f0b-a445df44622c,2.96813495201112e-22,910397.062524853,96ec3ad3-ed54-4ea7-8849-f3cf298d80e7
580,6d9d005b-ef73-4ae5-a362-04ff062d8d23,269a7cfa-3098-4d1c-b68c-85ed95a79df7,6394aad6-3eba-45bd-9f0b-a445df44622c,6.23064211281364e-22,789450.719412727,987634e2-bcb6-49e7-9aef-7c98d7d7b606
585,270ff846-9b9c-4c8a-8efa-c97f2c1f7665,269a7cfa-3098-4d1c-b68c-85ed95a79df7,6394aad6-3eba-45bd-9f0b-a445df44622c,9.95196668505266e-22,698535.81371899,2780889e-73e4-4b0e-aafb-23cc96a583c9
590,df4a8221-c0da-4b58-85ff-fac8c322e3cf,269a7cfa-3098-4d1c-b68c-85ed95a79df7,6394aad6-3eba-45bd-9f0b-a445df44622c,1.49247520512338e-21,604220.069647664,11097635-734e-46df-9038-09654a09f28b
595,ff9c5cce-9280-4907-8f50-1f1713b91e6e,269a7cfa-3098-4d1c-b68c-85ed95a79df7,6394aad6-3eba-45bd-9f0b-a445df44622c,3.22837996168688e-21,523949.716314571,673426e3-7ff5-4b79-9128-0b4b8affe348
600,b42c511b-24dc-46cb-bdb6-cf0ae758270a,269a7cfa-3098-4d1c-b68c-85ed95a79df7,6394aad6-3eba-45bd-9f0b-a445df44622c,5.10256345360111e-21,464733.658450809,adff5c86-9197-4479-a1bb-752fccbc4cd2
605,87a1e4bf-af91-47b7-8768-14a9de5b7acd,269a7cfa-3098-4d1c-b68c-85ed95a79df7,6394aad6-3eba-45bd-9f0b-a445df44622c,7.55424522034512e-21,408563.88772289,5dedcb30-b19f-4c51-af62-692acdda0bdc
